episode,job_count,machine_count,selection_count,best_source,candidate_count,loss,score_json,hard_violation_count,makespan,bay_internal_cut_length_gap,bay_internal_wo_count_gap,bay_internal_bevel_quantity_gap,bay_internal_occupancy_gap,raw_hard_violation_count,raw_makespan,raw_bay_internal_cut_length_gap,raw_bay_internal_wo_count_gap,raw_bay_internal_bevel_quantity_gap,raw_bay_internal_occupancy_gap,normalized_bay_internal_cut_length_gap,normalized_bay_internal_wo_count_gap,normalized_bay_internal_bevel_quantity_gap,normalized_bay_internal_occupancy_gap
14537,130,15,130,22:agent_sample_19|23:agent_sample_39|24:agent_sample_16|25:agent_sample_13|trans:agent_sample_59,340,0.334909946,"[0, 168.814678, 383.516763567, 20.0, 24.0, 71.7641]",0,168.814678,383.516763567,20.0,24.0,71.7641,0,168.814678,383.516763567,20.0,24.0,71.7641,1.000675905,2.886819923,5.991304348,0.847209974
14538,190,15,190,22:agent_sample_16|23:agent_sample_59|24:agent_sample_42|25:agent_sample_18|trans:agent_sample_28,340,0.299131596,"[0, 260.853514, 343.987625039, 20.0, 28.0, 44.130843]",0,260.853514,343.987625039,20.0,28.0,44.130843,0,260.853514,343.987625039,20.0,28.0,44.130843,0.619479999,2.383019884,5.890334929,0.39688556
14539,110,15,110,22:agent_sample_7|23:agent_greedy|24:agent_sample_55|25:agent_sample_12|trans:agent_sample_50,340,0.350217202,"[0, 152.940518, 423.49544114, 17.0, 23.0, 54.393573]",0,152.940518,423.49544114,17.0,23.0,54.393573,0,152.940518,423.49544114,17.0,23.0,54.393573,1.405410063,3.119945993,10.475274725,0.860306974
14540,86,15,86,22:agent_sample_61|23:agent_sample_18|24:agent_sample_38|25:agent_greedy|trans:agent_sample_30,340,0.493968678,"[0, 113.89727, 367.82264695, 12.0, 31.0, 70.846083]",0,113.89727,367.82264695,12.0,31.0,70.846083,0,113.89727,367.82264695,12.0,31.0,70.846083,1.00042912,2.459090909,10.142222222,0.992263739
14541,232,15,232,22:agent_sample_43|23:agent_sample_44|24:agent_sample_20|25:agent_sample_39|trans:lpt_batch,340,0.499069363,"[0, 315.618413, 398.891742875, 18.0, 28.0, 115.853269]",0,315.618413,398.891742875,18.0,28.0,115.853269,0,315.618413,398.891742875,18.0,28.0,115.853269,0.659621138,2.091260158,4.931476932,0.980370945
14542,196,15,196,22:agent_sample_58|23:agent_greedy|24:agent_sample_34|25:agent_sample_3|trans:agent_sample_42,340,0.26022948,"[0, 230.847034, 162.509312149, 10.0, 36.0, 47.598929]",0,230.847034,162.509312149,10.0,36.0,47.598929,0,230.847034,162.509312149,10.0,36.0,47.598929,0.240044762,1.217071817,4.512446833,0.427461746
14543,171,15,171,22:agent_sample_18|23:agent_sample_19|24:agent_sample_24|25:lpt_batch|trans:agent_sample_21,340,0.325529829,"[0, 250.912491, 551.28051558, 15.0, 27.0, 79.456638]",0,250.912491,551.28051558,15.0,27.0,79.456638,0,250.912491,551.28051558,15.0,27.0,79.456638,1.057757539,2.204116638,5.95959596,0.769041595
14544,146,15,146,22:agent_sample_10|23:lpt_batch|24:agent_sample_25|25:agent_greedy|trans:agent_sample_11,340,0.325428133,"[0, 204.207742, 240.570427627, 14.0, 49.0, 67.104628]",0,204.207742,240.570427627,14.0,49.0,67.104628,0,204.207742,240.570427627,14.0,49.0,67.104628,1.019805733,2.413720239,7.623188406,0.884445932
14545,111,15,111,22:agent_sample_8|23:agent_sample_33|24:agent_sample_11|25:agent_greedy|trans:agent_sample_14,340,0.283300689,"[0, 127.831101, 303.011787294, 12.0, 25.0, 27.38353]",0,127.831101,303.011787294,12.0,25.0,27.38353,0,127.831101,303.011787294,12.0,25.0,27.38353,0.941032003,2.122507122,6.09904762,0.465010801
14546,170,15,170,22:agent_sample_20|23:long_cut_batch|24:agent_sample_30|25:agent_sample_34|trans:agent_sample_62,340,0.866610891,"[0, 201.1702, 364.572464205, 10.0, 44.0, 29.29474]",0,201.1702,364.572464205,10.0,44.0,29.29474,0,201.1702,364.572464205,10.0,44.0,29.29474,0.970147379,1.153846154,5.958774559,0.377675999
14547,54,15,54,22:agent_sample_11|23:agent_sample_12|24:agent_sample_11|25:agent_sample_10|trans:agent_sample_8,340,0.470895839,"[0, 85.431552, 216.793203294, 4.0, 28.0, 147.281222]",0,85.431552,216.793203294,4.0,28.0,147.281222,0,85.431552,216.793203294,4.0,28.0,147.281222,2.234120479,1.406722689,8.569924812,3.165573906
